Automóvel,Descrição,Automático,Ano,Km,Local,Anunciante,Preço
MERCEDES-BENZ GLE 350,3.0 V6 BLUETEC DIESEL SPORT 4MATIC 9G-TRONIC,Y,2017/2017,87940 km,Campinas - SP,Concessionária,R$ 299400
AUDI A1,1.4 TFSI SPORTBACK ATTRACTION 16V 122CV GASOLINA 4P S-TRONIC,Y,2016/2017,40524 km,Campinas - SP,Concessionária,R$ 96900
AUDI RS Q8,4.0 V8 GASOLINA TWINTURBO MHEV TIPTRONIC,Y,2021/2021,9925 km,Campinas - SP,Concessionária,R$ 1190000
BMW X4,3.0 TWINPOWER GASOLINA M40I STEPTRONIC,Y,2018/2019,20000 km,Fortaleza - CE,Loja,R$ 429900
LEXUS NX 300h,2.5 16V VVT-I HYBRID LUXURY CVT AWD,Y,2019/2020,4800 km,Fortaleza - CE,Loja,R$ 279900
MERCEDES-BENZ A 200,1.3 CGI GASOLINA ADVANCE SEDAN 7G-DCT,Y,2020/2021,2100 km,Fortaleza - CE,Loja,R$ 254900
LAND ROVER RANGE ROVER SPORT,2.0 HSE HÍBRIDO 4P AUTOMÁTICO,Y,2021/2021,4300 km,Limeira - SP,Loja,R$ 635900
MERCEDES-BENZ C 180,1.6 CGI FLEX AVANTGARDE 9G-TRONIC,Y,2018/2018,24431 km,Atibaia - SP,Loja,R$ 155000
BMW 320i,2.0 SPORT 16V TURBO ACTIVE FLEX 4P AUTOMÁTICO,Y,2017/2017,52000 km,Blumenau - SC,Loja,R$ 137900
MERCEDES-BENZ GLC 250,2.0 CGI GASOLINA HIGHWAY 4MATIC 9G-TRONIC,Y,2018/2019,30829 km,Divinópolis - MG,Loja,R$ 239999
PORSCHE MACAN,2.0 16V GASOLINA 4P AUTOMÁTICO,Y,2020/2020,5000 km,Divinópolis - MG,Loja,R$ 479900
JEEP GRAND CHEROKEE,3.0 LIMITED 4X4 V6 24V TURBO DIESEL 4P AUTOMÁTICO,Y,2015/2015,81200 km,São Caetano do Sul - SP,Loja,R$ 168000
BMW 540i,3.0 24V TURBO GASOLINA M SPORT AUTOMÁTICO,Y,2019/2019,21249 km,São Paulo - SP,Loja,R$ 353660
BMW M 235i,2.0 TWINTURBO GASOLINA XDRIVE GRAN COUPE AUTOMÁTICO,Y,2020/2021,4000 km,Vinhedo - SP,Loja,R$ 359800
LAND ROVER DISCOVERY SPORT,2.2 16V SD4 TURBO DIESEL HSE 4P AUTOMÁTICO,Y,2015/2016,80000 km,Santos - SP,Loja,R$ 199900
VOLVO XC60,2.0 T8 HYBRID R-DESIGN AWD GEARTRONIC,Y,2020/2020,13500 km,São Paulo - SP,Loja,R$ 349900
