,text
0,"        We present the observational results from a detailed timing analysis of the black hole candidate EXO 1846-031 during its outburst in 2019 with the observations of Insight-HXMT, NICER and MAXI. This outburst can be classfied roughly into four different states. Type-C quasi-periodic oscillations (QPOs) observed by NICER (about 0.1-6Hz) and Insight-HXMT (about 0.7-8Hz) are also reported in this work. Meanwhile, we study various physical quantities related to QPO frequency.The QPO rms-frequency relationship in three energy band 1-10 keV indicates that there is a turning pointing in frequency around 2 Hz,which is similar to that of GRS 1915+105. A possible hypothesis for the relationship above may be related to the inclination of the source, which may require a high inclination to explain it. The relationships between QPO frequency and QPO rms,hardness,total fractional rms and count rate have also been found in other transient sources, which can indicate that the origin of type-C QPOs is non-thermal.        "
1,"        Low-frequency quasi-periodic oscillations (LFQPOs) are commonly found in black hole X-ray binaries, and their origin is still under debate. The properties of LFQPOs at high energies (above 30 keV) are closely related to the nature of the accretion flow in the innermost regions, and thus play a crucial role in critically testing various theoretical models. The Hard X-ray Modulation Telescope (Insight-HXMT) is capable of detecting emissions above 30 keV, and is therefore an ideal instrument to do so. Here we report the discovery of LFQPOs above 200 keV in the new black hole MAXI J1820+070 in the X-ray hard state, which allows us to understand the behaviours of LFQPOs at hundreds of kiloelectronvolts. The phase lag of the LFQPO is constant around zero below 30 keV, and becomes a soft lag (that is, the high-energy photons arrive first) above 30 keV. The soft lag gradually increases with energy and reaches ~0.9s in the 150-200 keV band. The detection at energies above 200 keV, the large soft lag and the energy-related behaviors of the LFQPO pose a great challenge for most currently existing models, but suggest that the LFQPO probably originates from the precession of a small-scale jet.        "
2,"        Machine learning has demonstrated great power in materials design, discovery, and property prediction. However, despite the success of machine learning in predicting discrete properties, challenges remain for continuous property prediction. The challenge is aggravated in crystalline solids due to crystallographic symmetry considerations and data scarcity. Here we demonstrate the direct prediction of phonon density of states using only atomic species and positions as input. We apply Euclidean neural networks, which by construction are equivariant to 3D rotations, translations, and inversion and thereby capture full crystal symmetry, and achieve high-quality prediction using a small training set of $\sim 10^{3}$ examples with over 64 atom types. Our predictive model reproduces key features of experimental data and even generalizes to materials with unseen elements. We demonstrate the potential of our network by predicting a broad number of high phononic specific heat capacity materials. Our work indicates an efficient approach to explore materials' phonon structure, and can further enable rapid screening for high-performance thermal storage materials and phonon-mediated superconductors.        "
3,"        In this paper, we study $(G,Ï_Ï)$-equivariant $Ï$-coordinated quasi modules for nonlocal vertex algebras. Among the main results, we establish several conceptual results, including a generalized commutator formula and a general construction of weak quantum vertex algebras and their $(G,Ï_Ï)$-equivariant $Ï$-coordinated quasi modules. As an application, we also construct (equivariant) $Ï$-coordinated quasi modules for lattice vertex algebras by using Lepowsky's work on twisted vertex operators.        "
4,"        A polarization-independent reconfigurable frequency selective rasorber (FSR)/absorber with low insertion loss based on diodes is proposed in this paper. The presented structure consists of a lossy layer based on square loops and a bandpass frequency-selective surface. These two layers are separated by an air layer. Each layer has an embedded bias network that provides the bias voltage to the diodes through metallic via. This configuration can avoid undesirable effects associated with the additional biasing wire. When the diodes are in off-state, the structure is in FSR mode and exhibits a transmission window at 4.28GHz with only 0.69dB insertion loss (IL) within the absorption bands. While diodes are in on-state and the structure switches to absorber mode, it achieves perfect absorption with absorptivity of over 90% ranging from 2.8 to 5.2 GHz. An equivalent circuit model (ECM) is developed to analyse the physical mechanism of the structure. A prototype of the proposed architecture is fabricated and measured, where reasonable agreements between simulations and measurements are observed, verifying the effectiveness of this design.        "
5,"        Deep learning is a hot research topic in the field of machine learning methods and applications. Generative Adversarial Networks (GANs) and Variational Auto-Encoders (VAEs) provide impressive image generations from Gaussian white noise, but both of them are difficult to train since they need to train the generator (or encoder) and the discriminator (or decoder) simultaneously, which is easy to cause unstable training. In order to solve or alleviate the synchronous training difficult problems of GANs and VAEs, recently, researchers propose Generative Scattering Networks (GSNs), which use wavelet scattering networks (ScatNets) as the encoder to obtain the features (or ScatNet embeddings) and convolutional neural networks (CNNs) as the decoder to generate the image. The advantage of GSNs is the parameters of ScatNets are not needed to learn, and the disadvantage of GSNs is that the expression ability of ScatNets is slightly weaker than CNNs and the dimensional reduction method of Principal Component Analysis (PCA) is easy to lead overfitting in the training of GSNs, and therefore affect the generated quality in the testing process. In order to further improve the quality of generated images while keep the advantages of GSNs, this paper proposes Generative Fractional Scattering Networks (GFRSNs), which use more expressive fractional wavelet scattering networks (FrScatNets) instead of ScatNets as the encoder to obtain the features (or FrScatNet embeddings) and use the similar CNNs of GSNs as the decoder to generate the image. Additionally, this paper develops a new dimensional reduction method named Feature-Map Fusion (FMF) instead of PCA for better keeping the information of FrScatNets and the effect of image fusion on the quality of image generation is also discussed.        "
6,"        Reconfigurable photonic systems featuring minimal power consumption are crucial for integrated optical devices in real-world technology. Current active devices available in foundries, however, use volatile methods to modulate light, requiring a constant supply of power and significant form factors. Essential aspects to overcoming these issues are the development of nonvolatile optical reconfiguration techniques which are compatible with on-chip integration with different photonic platforms and do not disrupt their optical performances. In this paper, a solution is demonstrated using an optoelectronic framework for nonvolatile tunable photonics that employs undoped-graphene microheaters to thermally and reversibly switch the optical phase-change material Ge$_2$Sb$_2$Se$_4$Te$_1$ (GSST). An in-situ Raman spectroscopy method is utilized to demonstrate, in real-time, reversible switching between four different levels of crystallinity. Moreover, a 3D computational model is developed to precisely interpret the switching characteristics, and to quantify the impact of current saturation on power dissipation, thermal diffusion, and switching speed. This model is used to inform the design of nonvolatile active photonic devices; namely, broadband Si$_3$N$_4$ integrated photonic circuits with small form-factor modulators and reconfigurable metasurfaces displaying 2$Ï$ phase coverage through neural-network-designed GSST meta-atoms. This framework will enable scalable, low-loss nonvolatile applications across a diverse range of photonics platforms.        "
7,"        In this paper, for an arbitrary Kac-Moody Lie algebra $\mathfrak{g}$ and a diagram automorphism $Î¼$ of $\mathfrak{g}$ satisfying two linking conditions, we introduce and study a $Î¼$-twisted quantum affinization algebra $\mathcal{U}_{\hbar}(\hat{\mathfrak{g}}_Î¼)$ of $\mathfrak{g}$. When $\mathfrak{g}$ is of finite type, $\mathcal{U}_{\hbar}(\hat{\mathfrak{g}}_Î¼)$ is Drinfeld's current algebra realization of the twisted quantum affine algebra. And, when $Î¼=\mathrm{Id}$, $\mathcal{U}_{\hbar}(\hat{\mathfrak{g}}_Î¼)$ is the quantum affinization algebra introduced by Ginzburg-Kapranov-Vasserot. As the main results of this paper, we first prove a triangular decomposition of $\mathcal{U}_{\hbar}(\hat{\mathfrak{g}}_Î¼)$. Second, we give a simple characterization of the affine quantum Serre relations on restricted $\mathcal{U}_{\hbar}(\hat{\mathfrak{g}}_Î¼)$-modules in terms of ""normal order products"". Third, we prove that the category of restricted $\mathcal{U}_{\hbar}(\hat{\mathfrak{g}}_Î¼)$-modules is a monoidal category and hence obtain a topological Hopf algebra structure on the ""restricted completion"" of $\mathcal{U}_{\hbar}(\hat{\mathfrak{g}}_Î¼)$. Fourth, we study the classical limit of $\mathcal{U}_{\hbar}(\hat{\mathfrak{g}}_Î¼)$ and abridge it to the quantization theory of extended affine Lie algebras. In particular, based on a classification result of Allison-Berman-Pianzola, we obtain the $\hbar$-deformation of nullity $2$ extended affine Lie algebras.        "
8,"        In this paper we introduce a new quantum algebra which specializes to the $2$-toroidal Lie algebra of type $A_1$.  We prove that this quantum toroidal algebra has a natural triangular decomposition, a (topological) Hopf algebra structure and a vertex operator realization.        "
9,"        Fluorescein angiography can provide a map of retinal vascular structure and function, which is commonly used in ophthalmology diagnosis, however, this imaging modality may pose risks of harm to the patients. To help physicians reduce the potential risks of diagnosis, an image translation method is adopted. In this work, we proposed a conditional generative adversarial network(GAN) - based method to directly learn the mapping relationship between structure fundus images and fundus fluorescence angiography images. Moreover, local saliency maps, which define each pixel's importance, are used to define a novel saliency loss in the GAN cost function. This facilitates more accurate learning of small-vessel and fluorescein leakage features.        "
